title,year,genre,director,writer,actors,wiki_url
Sangam,1964,"Drama, Musical, Romance",Raj Kapoor,Inder Raj Anand,"Raj Kapoor, Rajendra Kumar, Vyjayanthimala, Iftekhar, Raj Mehra, Nana Palsikar, Lalita Pawar, Achala Sachdev, Hari Shivdasani","Sangam_(1964_Hindi_film), Sangam_(1964_Hindi_film), "
Santa Claus Conquers the Martians,1964,"Adventure, Comedy, Family",Nicholas Webster,"Glenville Mareth, Paul L. Jacobson","John Call, Leonard Hicks, Vincent Beck, Bill McCutcheon, Victor Stiles, Donna Conforti, Chris Month, Pia Zadora, Lelia Martin, Charles Renn, James Cahill, Ned Wertimer, Doris Rich, Carl Don, Ivor Bodin","Santa_Claus_Conquers_the_Martians, "
Smokescreen,1964,"Crime, Drama, Mystery",Jim O'Connolly,Jim O'Connolly,"Peter Vaughan, John Carson, Yvonne Romain, Gerald Flood, Glynn Edwards, John Glyn-Jones, Sam Kydd, Deryck Guyler, Penny Morrell, David Gregory, Jill Curzon, Barbara Hicks, Bert Palmer, Tom Gill, Edward Ogden","Smokescreen_(film), "
The Starfighters,1964,Drama,Will Zens,Will Zens,"Robert Dornan, Richard Jordahl, Shirley Olmstead, Richard Masters, Steve Early, Robert Winston, Carl Rogers, Ralph Thomas, Joan Lougee","The_Starfighters, "
Surf Party,1964,"Comedy, Musical",Maury Dexter,Harry Spalding,"Bobby Vinton, Patricia Morrow, Jackie DeShannon, Ken Miller, Lory Patrick, Richard Crane, Martha Stewart, Jerry Summers, The Astronauts, The Routers, Lloyd Kino, Mickey Dora, Johnny Fain, Pam Colbert, Donna Russell","Surf_Party, "
A Time for Dying,1969,Western,Budd Boetticher,Budd Boetticher,"Richard Lapp, Anne Randall, Robert Random, Beatrice Kay, Victor Jory, Audie Murphy, Ron Masak, Burt Mustin, Peter Brocco, Walter Reed, Louis Ojena, Ivan J. Rado, Walt La Rue, Maria Desti, Betty Rowland","A_Time_for_Dying, "
Topkapi,1964,"Adventure, Comedy, Crime",Jules Dassin,"Monja Danischewsky, Eric Ambler","Melina Mercouri, Peter Ustinov, Maximilian Schell, Robert Morley, Jess Hahn, Gilles Ségal, Akim Tamiroff, Titos Vandis, Ege Ernart, Senih Orkan, Ahmet Danyal Topatan, Joe Dassin, Despo Diamantidou","Topkapi_(film), "
Viva Las Vegas,1964,"Comedy, Musical",George Sidney,Sally Benson,"Elvis Presley, Ann-Margret, Cesare Danova, William Demarest, Nicky Blair","Viva_Las_Vegas, "
Witchcraft,1964,Horror,Don Sharp,Harry Spalding,"Lon Chaney Jr., Jack Hedley, Jill Dixon, Viola Keats, Marie Ney, David Weston, Diane Clare, Yvette Rees, Barry Linehan, Victor Brooks, Marianne Stone, John Dunbar, Hilda Fenemore","Witchcraft_(1988_film), Witchcraft_(1964_film), "
Wonderful Life,1964,"Music, Musical, Romance",Sidney J. Furie,"Peter Myers, Ronald Cass","Cliff Richard, Walter Slezak, Susan Hampshire, Hank B. Marvin, Bruce Welch, Brian Bennett, John Rostill, Melvyn Hayes, Richard O'Sullivan, Una Stubbs, Derek Bond, Gerald Harper, Joseph Cuby, Royston Ellis, The Shadows","Wonderful_Life_(1964_film), "
Your Cheatin' Heart,1964,"Biography, Drama, Music",Gene Nelson,Stanford Whitmore,"George Hamilton, Susan Oliver, Red Buttons, Arthur O'Connell, Shary Marshall, Rex Ingram, Chris Crosby, Rex Holman, Hortense Petra, Roy Engel, Donald Losby, Kevin Tate","Your_Cheatin%27_Heart_(film), "
Zulu,1964,"Drama, History, War",Cy Endfield,"John Prebble, Cy Endfield","Stanley Baker, Jack Hawkins, Ulla Jacobsson, James Booth, Michael Caine, Nigel Green, Ivor Emmanuel, Paul Daneman, Glynn Edwards, Neil McCarthy, David Kernan, Gary Bond, Peter Gill, Tom Gerrard, Patrick Magee","Zulu_(1964_film), "
Bad Girls Go to Hell,1965,Drama,Doris Wishman,Doris Wishman,"Gigi Darlene, Charles E. Mazin, Sam Stewart, Gertrude Cross, Alan Feinstein, Barnard L. Sackett, Darlene Bennett, Marlene Starr, Harold Key","Bad_Girls_Go_to_Hell, "
The Big Job,1965,"Comedy, Mystery",Gerald Thomas,"Talbot Rothwell, John Antrobus","Sidney James, Sylvia Syms, Dick Emery, Joan Sims, Lance Percival, Jim Dale, Edina Ronay, Deryck Guyler, Reginald Beckwith, Michael Ward, Brian Rawlinson, David Horne, Frank Forsyth, Frank Thornton, Wanda Ventham","The_Big_Job_(film), "
Billie,1965,"Comedy, Family, Musical",Don Weis,"Ronald Alexander, Ronald Alexander","Patty Duke, Jim Backus, Jane Greer, Warren Berlinger, Billy De Wolfe, Charles Lane, Dick Sargent, Susan Seaforth Hayes, Ted Bessell, Richard Deacon, Bobby Diamond, Michael Fox, Clive Clerk, Harlan Warde, Jean MacRae","Billie_(film), "
Carry On Cowboy,1965,"Comedy, Western",Gerald Thomas,Talbot Rothwell,"Sidney James, Kenneth Williams, Jim Dale, Charles Hawtrey, Joan Sims, Angela Douglas, Bernard Bresslaw, Peter Butterworth, Percy Herbert, Jon Pertwee, Sydney Bromley, Edina Ronay, Lionel Murton, Peter Gilmore, Davy Kaye","Carry_On_Cowboy, "
Cat Ballou,1965,"Comedy, Romance, Western",Elliot Silverstein,"Walter Newman, Frank Pierson","Lee Marvin, Jane Fonda, Michael Callan, Dwayne Hickman, Nat 'King' Cole, Stubby Kaye, Tom Nardini, John Marley, Reginald Denny, Jay C. Flippen, Arthur Hunnicutt, Bruce Cabot, Burt Mustin, Paul Gilbert","Cat_Ballou, "
Chappaqua,1966,Drama,Conrad Rooks,Conrad Rooks,"Jean-Louis Barrault, Conrad Rooks, William S. Burroughs, Allen Ginsberg, Ravi Shankar, Paula Pritchett, Ornette Coleman, Swami Satchidananda, Moondog, Jill Lator, John Esam, Ed Sanders, Rita Renoir, Penny Brown, Jacques Seiler","Chappaqua_(film), "
Darling,1965,"Drama, Romance",John Schlesinger,"Frederic Raphael, Frederic Raphael","Julie Christie, Laurence Harvey, Dirk Bogarde, José Luis de Vilallonga, Roland Curram, Basil Henson, Helen Lindsay, Carlo Palmucci, Dante Posani, Umberto Raho, Marika Rivera, Alex Scott, Ernest Walder, Brian Wilde, Pauline Yates","Darling_(1965_film), Darling_(2012_film), Darling_(2015_Tamil_film), Darling_(2010_film), "
Dr. Who and the Daleks,1965,"Adventure, Family, Sci-Fi",Gordon Flemyng,"Terry Nation, Milton Subotsky","Peter Cushing, Roy Castle, Jennie Linden, Roberta Tovey, Barrie Ingham, Geoffrey Toone, Michael Coles, John Bown, Yvonne Antrobus, Mark Petersen, Ken Garady, Nicholas Head, Mike Lennox, Jack Waters, Virginia Tyler","Dr._Who_and_the_Daleks, "
"Faster, Pussycat! Kill! Kill!",1965,"Action, Comedy",Russ Meyer,"Jackie Moran, Russ Meyer","Tura Satana, Haji, Lori Williams, Ray Barlow, Sue Bernard, Michael Finn, Dennis Busch, Stuart Lancaster, Paul Trinka","Faster,_Pussycat!_Kill!_Kill!, "
The Fat Spy,1966,Comedy,Joseph Cates,Matthew Andrews,"Phyllis Diller, Jack E. Leonard, Brian Donlevy, Johnny Tillotson, Jayne Mansfield, Lauree Berger, Jordan Christopher, The Wild Ones, Lou Nelson, Toni Lee Shelly, Penny Roman, Chuck Alden, Eddie Wright, Tommy Graves, Tommy Trick","The_Fat_Spy, "
Firelight,1964,"Sci-Fi, Thriller",Steven Spielberg,Steven Spielberg,"Robert Robyn, Beth Weber, Lucky Lohr, Margaret Peyou, Chuck Case, Charles Emery, Tina Lanser, Warner Marshall, Sherry Nalder, Carolyn Owen, Chip Parker, Haven Peters, Deedee Pisani, Nancy Spielberg","Firelight_(1964_film), Firelight, "
Gonks Go Beat,1964,"Comedy, Musical, Sci-Fi",Robert Hartford-Davis,"Jimmy Watson, Robert Hartford-Davis","Kenneth Connor, Terry Scott, Frank Thornton, Iain Gregory, Barbara Brown, Reginald Beckwith, Gary Cockrell, Jerry Desmonde, Arthur Mullard, The Graham Bond Organization, Alan David, Elaine Thompson, Derek Thompson, Ray Lewis and the Trekkers, The Long and the Short","Gonks_Go_Beat, "
Harlow,1965,Drama,Alex Segal,Karl Tunberg,"Carol Lynley, Efrem Zimbalist Jr., Ginger Rogers, Barry Sullivan, Hurd Hatfield, Lloyd Bochner, Hermione Baddeley, Audrey Totter, John Williams, Audrey Christie, Michael Dante, Jack Kruschen, Celia Lovsky, Robert Strauss, Sonny Liston","Harlow_(Paramount_film), Harlow_(Magna_film), "
Heidi,1965,"Drama, Family",Werner Jacobs,"Johanna Spyri, Michael Haller","Eva Maria Singhammer, Michaela May, Jan Koester, Gustav Knuth, Margot Trooger, Ernst Schröder, Rudolf Prack, Lotte Ledl, Margarete Haagen, Rolf Möbius, Gabriele Buch, Rudolf Vogel, Hans Thimig, Michael Janisch","Heidi_(1937_film), Heidi_(2005_live-action_film), "
The Intelligence Men,1965,"Comedy, Mystery",Robert Asher,"Sidney Green, Richard Hills","Eric Morecambe, Ernie Wise, William Franklyn, April Olrich, Gloria Paul, Richard Vernon, David Lodge, Jacqueline Jones, Terence Alexander, Francis Matthews, Warren Mitchell, Brian Oulton, Michael Peake, Peter Bull, Tutte Lemkow","The_Intelligence_Men, "
Joy in the Morning,1965,"Drama, Romance",Alex Segal,"Betty Smith, Sally Benson","Richard Chamberlain, Yvette Mimieux, Arthur Kennedy, Oskar Homolka, Donald Davis, Joan Tetzel, Sidney Blackmer, Virginia Gregg, Chris Noel, Bartlett Robinson, Ellen Atterbury, Harvey Stephens, Ira Barmak, Samuel Fordis","Joy_in_the_Morning_(film), "
Karla,1965,"Drama, Romance",Herrmann Zschoche,"Manfred Fritzsche, Manfred Kieseler","Jutta Hoffmann, Klaus-Peter Pleßow, Hans Hardt-Hardtloff, Inge Keller, Gisela Morgen, Herwart Grosse, Rolf Hoppe, Harald Moszdorf, Peter Sturm, Dieter Wien, Heidemarie Schneider, Jürgen Hentsch, Jörg Knochée, Regine Albrecht, Michael Höhne","Karla_(film), "
Khandan,1965,"Drama, Musical",A. Bhimsingh,"N.S. Bedi, A. Bhimsingh","Sunil Dutt, Nutan, Pran, Sudesh Kumar, Manmohan Krishna, Mohan Choti, Om Prakash, Ravikant, Arundev, Mumtaz, Sulochana Chatterjee, Lalita Pawar, Helen, Jeevan Kala","Khandan_(1942_film), Khandan_(1965_film), Khandaan_(1979_film), "
Lady L,1965,Comedy,Peter Ustinov,"Romain Gary, Peter Ustinov","Sophia Loren, Paul Newman, David Niven, Marcel Dalio, Cecil Parker, Philippe Noiret, Jacques Dufilho, Eugene Deckers, Daniel Emilfork, Hella Petri, Jean Wiener, Roger Trapp, Jean Rupert, Joe Dassin, Jacques Legras","Lady_L, "
Lord Jim,1965,"Adventure, Drama, Romance",Richard Brooks,"Joseph Conrad, Richard Brooks","Peter O'Toole, James Mason, Curd Jürgens, Eli Wallach, Jack Hawkins, Paul Lukas, Daliah Lavi, Akim Tamiroff, Jûzô Itami, Tatsuo Saitô, Andrew Keir, Jack MacGowran, Ric Young, Noel Purcell, Walter Gotell","Lord_Jim_(1965_film), "
Mickey One,1965,"Crime, Drama",Arthur Penn,Alan Surgal,"Warren Beatty, Alexandra Stewart, Hurd Hatfield, Franchot Tone, Teddy Hart, Jeff Corey, Kamatari Fujiwara, Donna Michelle, Ralph Foody, Norman Gottschalk, Dick Lucas, Jack Goodman, Jeri Jensen, Charlene Lee, Benny Dunn","Mickey_One, "
Mirage,1965,"Mystery, Thriller",Edward Dmytryk,"Peter Stone, Howard Fast","Gregory Peck, Diane Baker, Walter Matthau, Kevin McCarthy, Jack Weston, Leif Erickson, Walter Abel, George Kennedy, Robert H. Harris, Anne Seymour, House Jameson, Hari Rhodes, Syl Lamont, Eileen Baral, Neil Fitzgerald","Mirage_(1965_film), "
The Monkey's Uncle,1965,"Family, Comedy, Sci-Fi",Robert Stevenson,"Alfred Lewis Levitt, Helen Levitt","Tommy Kirk, Annette Funicello, Leon Ames, Arthur O'Connell, Frank Faylen, Leon Tyler, Norman Grabowski, Cheryl Miller, Connie Gilchrist, Alan Hewitt, Gage Clarke, Mark Goddard, Harry Holcombe, Alexander Lockwood, Harry Antrim","The_Monkey%27s_Uncle, "
Mudhoney,1965,Drama,Russ Meyer,"Raymond Friday Locke, Billy Sprague","Hal Hopper, Antoinette Cristiani, John Furlong, Rena Horten, Princess Livingston, Lorna Maitland, Sam Hanna, Stuart Lancaster, Nick Wolcuff, Frank Bolger, Lee Ballard, Michael Finn, Fred Owens, Wilfred Kues, Charles Felix","Mudhoney_(film), "
Never Too Late,1965,Comedy,Bud Yorkin,"Sumner Arthur Long, Sumner Arthur Long","Paul Ford, Connie Stevens, Maureen O'Sullivan, Jim Hutton, Jane Wyatt, Henry Jones, Lloyd Nolan","Never_Too_Late_(1965_film), Never_Too_Late_(1997_film), "
One Way Pendulum,1965,Comedy,Peter Yates,"N.F. Simpson, N.F. Simpson","Eric Sykes, George Cole, Julia Foster, Jonathan Miller, Peggy Mount, Alison Leggatt, Mona Washbourne, Douglas Wilmer, Glyn Houston, Graham Crowden, Kenneth Farrington, Walter Horsbrugh, Frederick Piper, Vincent Harding, Tommy Bruce","One_Way_Pendulum_(film), "
Repulsion,1965,"Drama, Horror, Thriller",Roman Polanski,"Roman Polanski, Gérard Brach","Catherine Deneuve, Ian Hendry, John Fraser, Yvonne Furneaux, Patrick Wymark, Renee Houston, Valerie Taylor, James Villiers, Helen Fraser, Hugh Futcher, Monica Merlin, Imogen Graham, Mike Pratt","Repulsion_(film), "
Samurai,1965,"Action, Adventure, Drama",Kihachi Okamoto,"Shinobu Hashimoto, Jiromasa Gunji","Toshirô Mifune, Keiju Kobayashi, Michiyo Aratama, Yûnosuke Itô, Eijirô Tôno, Tatsuyoshi Ehara, Tadao Nakamaru, Kaoru Yachigusa, Haruko Sugimura, Nami Tamura, Shirô Ôtsuji, Yoshio Inaba, Akihiko Hirata, Hideyo Amamoto, Ikio Sawamura","Samurai_(2002_film), "
Every Day's a Holiday,1964,"Comedy, Musical",James Hill,"Anthony Marriott, Jeri Matos","John Leyton, Michael Sarne, Peter Birrell, Roy Crewdson, Bernie Dwyer, Freddie & The Dreamers, Freddie Garrity, Derek Quinn, Ron Moody, Liz Fraser, Grazina Frame, Susan Baker, Jennifer Baker, Keith Alcock, John Conrad","Every_Day%27s_a_Holiday_(1937_film), "
Shakespeare-Wallah,1965,Drama,James Ivory,"Ruth Prawer Jhabvala, James Ivory","Shashi Kapoor, Felicity Kendal, Geoffrey Kendal, Laura Liddell, Madhur Jaffrey, Utpal Dutt, Praveen Paul, Prayag Raj, Pinchoo Kapoor, Jim D. Tytler, Hamid Sayani, Marcus Murch, Partap Sharma","Shakespeare-Wallah, "
Ski Party,1965,"Comedy, Musical",Alan Rafkin,Robert Kaufman,"Frankie Avalon, Dwayne Hickman, Deborah Walley, Yvonne Craig, Robert Q. Lewis, Bobbie Shaw Chance, Aron Kincaid, The Hondells, Steven Rogers, Patti Chandler, Michael Nader, Salli Sachse, John Boyer, Mikki Jamison, Mickey Dora","Ski_Party, "
Synanon,1965,Drama,Richard Quine,"Ian Bernard, Barry Oringer","Chuck Connors, Stella Stevens, Alex Cord, Richard Conte, Eartha Kitt, Edmond O'Brien, BarBara Luna, Alejandro Rey, Richard Evans, Gregory Morton, Chanin Hale, K.C. Townsend, Larry Kert, Bernie Hamilton, Solomon Sturges","Synanon_(film), "
Waqt,1965,"Drama, Romance",Yash Chopra,"Akhtar Mirza, Akhtar-Ul-Iman","Sunil Dutt, Sadhana, Raaj Kumar, Shashi Kapoor, Sharmila Tagore, Balraj Sahni, Rehman, Motilal, Manmohan Krishna, Jeevan, Madan Puri, Achala Sachdev, Leela Chitnis, Sumati Gupte, Surendra Nath","Waqt_(1965_film), "
Wild on the Beach,1965,Comedy,Maury Dexter,"Harry Spalding, Hank Tani","Frankie Randall, Sherry Jackson, Gayle Caldwell, Jackie Miller, Russ Bender, Booth Colman, Cindy Malone, Justin Smith, Jerry Grayson, Marc Seaton, Robert Golden, Larry Gust, Sonny Bono, Cher, The Astronauts","Wild_on_the_Beach, "
The World of Abbott and Costello,1965,Comedy,"Charles Barton, Erle C. Kenton",Gene Wood,"Jack E. Leonard, Bud Abbott, Lou Costello, Tom Ewell, Margaret Hamilton, Bela Lugosi, Marjorie Main, Nat Pendleton","The_World_of_Abbott_and_Costello, "
You Must Be Joking!,1965,Comedy,Michael Winner,"Alan Hackney, Alan Hackney","Michael Callan, Lionel Jeffries, Denholm Elliott, Wilfrid Hyde-White, Bernard Cribbins, James Robertson Justice, Leslie Phillips, Gabriella Licudi, Patricia Viterbo, Terry-Thomas, Lee Montague, Irene Handl, Richard Wattis, Miles Malleson, Gwendolyn Watts","You_Must_Be_Joking!_(1965_film), "
Alfie,1966,"Comedy, Drama",Lewis Gilbert,"Bill Naughton, Bill Naughton","Michael Caine, Shelley Winters, Millicent Martin, Julia Foster, Jane Asher, Shirley Anne Field, Vivien Merchant, Eleanor Bron, Denholm Elliott, Alfie Bass, Graham Stark, Murray Melvin, Sydney Tafler","Alfie_(2004_film), Alfie_(1966_film), "
Arabesque,1966,"Action, Adventure, Crime",Stanley Donen,"Julian Mitchell, Stanley Price","Gregory Peck, Sophia Loren, Alan Badel, Kieron Moore, Carl Duering, John Merivale, Duncan Lamont, George Coulouris, Ernest Clark, Harold Kasket","Arabesque_(1966_film), "
Batman,1966,"Adventure, Comedy, Crime",Leslie H. Martinson,"Lorenzo Semple Jr., Bob Kane","Adam West, Burt Ward, Lee Meriwether, Cesar Romero, Burgess Meredith, Frank Gorshin, Alan Napier, Neil Hamilton, Stafford Repp, Madge Blake, Reginald Denny, Milton Frome, Gil Perkins, Dick Crockett, George Sawaya","Batman_(serial), Batman_(1966_film), Batman_(1989_film), "
Beau Geste,1966,"Action, Adventure, Drama",Douglas Heyes,"Percival Christopher Wren, Douglas Heyes","Guy Stockwell, Doug McClure, Leslie Nielsen, Telly Savalas, David Mauro, Robert Wolders, Leo Gordon, Michael Constantine, Malachi Throne, Joe De Santis, X Brands, Michael Carr, George Keymas, Patrick Whyte, Jeff Nelson","Beau_Geste_(1926_film), Beau_Geste_(1939_film), "
The Black Cat,1966,Horror,Harold Hoffman,"Edgar Allan Poe, Harold Hoffman","Robert Frost, Robyn Baker, Sadie French, Scotty McKay, George R. Russell, George Edgley, Annabelle Weenick, Jeff Alexander, Tommie Russell, Scott Shewmake, Bill Thurman, Nelson Spencer, Pluto, Jeannie Miller, Cathy Lacey","The_Black_Cat_(1934_film), "
Blood Bath,1966,Horror,"Jack Hill, Stephanie Rothman","Jack Hill, Stephanie Rothman","William Campbell, Marissa Mathes, Lori Saunders, Sandra Knight, Karl Schanzer, Biff Elliot, Sid Haig, Jonathan Haze, Fred Thompson, David Ackles, Thomas Karnes, Frank Church, David Miller, Jess Nichols, Lowe Stephens","Blood_Bath, "
Castle of Evil,1966,"Horror, Mystery, Sci-Fi",Francis D. Lyon,Charles A. Wallace,"Scott Brady, Virginia Mayo, David Brian, Lisa Gaye, Hugh Marlowe, William Thourlby, Ernest Sarracino, Natividad Vacío, Shelley Morrison","Castle_of_Evil, "
The Daydreamer,1966,"Animation, Adventure, Drama",Jules Bass,"Hans Christian Andersen, Hans Christian Andersen","Tallulah Bankhead, Victor Borge, Patty Duke, Jack Gilford, Sessue Hayakawa, Margaret Hamilton, Burl Ives, Boris Karloff, Hayley Mills, Paul O'Keefe, Cyril Ritchard, Terry-Thomas, Ed Wynn, Ray Bolger, Robert Harter","The_Daydreamer_(film), "
Death Is a Woman,1966,"Crime, Drama, Mystery",Frederic Goode,"Wallace Bosco, Wallace Bosco","Mark Burns, Shaun Curry, William Dexter, Wanda Ventham, Terence de Marney, Mark Singleton, Michael Brennan, Blake Butler, Dulcie Bowman, Tony Watham, Anita Harris, Garth Adams, Caron Gardner, Trisha Noble","Death_Is_a_Woman, "
Dimension 5,1966,"Crime, Sci-Fi, Thriller",Franklin Adreon,Arthur C. Pierce,"Jeffrey Hunter, France Nuyen, Harold Sakata, Donald Woods, Linda Ho, Robert Ito, David Chow, Jon Lormer, Bill Walker, Virginia Ann Lee, Lee Kolima, Tad Horino, Kam Tong, Gerald Jann, Carol Byron","Dimension_5_(film), "
Don't Lose Your Head,1967,"Action, Adventure, Comedy",Gerald Thomas,Talbot Rothwell,"Sidney James, Kenneth Williams, Jim Dale, Charles Hawtrey, Peter Butterworth, Joan Sims, Dany Robin, Peter Gilmore, Marianne Stone, Michael Ward, Leon Greene, David Davenport, Richard Shaw, Valerie Van Ost, Jennifer Clulow","Don%27t_Lose_Your_Head, "
An Eye for an Eye,1966,Western,Michael D. Moore,"Bing Russell, Sumner Williams","Robert Lansing, Patrick Wayne, Slim Pickens, Gloria Talbott, Paul Fix, Strother Martin, Clint Howard, Rance Howard, Henry Wills, Jerry Gatlin","An_Eye_for_an_Eye_(1981_film), "
Fahrenheit 451,1966,"Drama, Sci-Fi",François Truffaut,"François Truffaut, Jean-Louis Richard","Julie Christie, Oskar Werner, Cyril Cusack, Anton Diffring, Jeremy Spenser, Bee Duffell, Alex Scott","Fahrenheit_451_(1966_film), "
Finders Keepers,1966,"Comedy, Musical",Sidney Hayers,"Michael Pertwee, George H. Brown","Cliff Richard, Brian Bennett, John Rostill, Robert Morley, Peggy Mount, Viviane Ventura, Graham Stark, John Le Mesurier, Robert Hutton, Gordon Ruttan, Ellen Pollock, Ernest Clark, Burnell Tucker, George Roderick, Bill Mitchell","Finders_Keepers_(1984_film), Finders_Keepers_(1966_film), "
Fireball 500,1966,"Action, Comedy, Drama",William Asher,"William Asher, Leo Townsend","Frankie Avalon, Annette Funicello, Fabian, Chill Wills, Harvey Lembeck, Julie Parrish, Douglas Henderson, Baynes Barron, Sandy Reed, Mary Hughes, Salli Sachse, Patti Chandler, Jo Collins, Karla Conway, Maria McBane","Fireball_500, "
Flight to Fury,1964,Adventure,Monte Hellman,"Monte Hellman, Jack Nicholson","Dewey Martin, Fay Spain, Jack Nicholson, Joseph Estrada, Vic Diaz, Jaclyn Hellman, Juliet Pardo, John Hackett, Vic Uematsu, Lucien Pan, Henry Duval, Serafin Sikat, Jose Dagumboy, Robert Arevalo, Jennings Sturgeon","Flight_to_Fury, "
Frankie and Johnny,1966,"Comedy, Musical, Romance",Frederick De Cordova,"Alex Gottlieb, Nat Perrin","Elvis Presley, Donna Douglas, Harry Morgan, Sue Ane Langdon, Nancy Kovack, Audrey Christie, Robert Strauss, Anthony Eisley, Joyce Jameson","Frankie_and_Johnny_(1966_film), Frankie_and_Johnny_(1991_film), "
The System,1964,Drama,Michael Winner,Peter Draper,"Oliver Reed, Jane Merrow, Barbara Ferris, Harry Andrews, Julia Foster, Andrew Ray, John Alderton, Ann Lynn, Iain Gregory, John Porter-Davison, Clive Colin Bowler, David Hemmings, Guy Doleman, Gwendolyn Watts","The_System_(1953_film), "
Grand Prix,1966,"Drama, Sport",John Frankenheimer,"Robert Alan Aurthur, Robert Alan Aurthur","James Garner, Eva Marie Saint, Yves Montand, Toshirô Mifune, Brian Bedford, Jessica Walter, Antonio Sabato, Françoise Hardy, Adolfo Celi, Claude Dauphin, Enzo Fiermonte, Geneviève Page, Jack Watson, Donald O'Brien, Jean Michaud","Grand_Prix_(1966_film), Grand_Prix_(1934_film), "
Sky West and Crooked,1966,"Drama, Romance",John Mills,"Mary Hayley Bell, John Prebble","Hayley Mills, Annette Crosbie, Laurence Naismith, Geoffrey Bayldon, Pauline Jameson, Norman Bird, June Ellis, Hamilton Dyce, Judith Furse, Anne Blake, Jack Bligh, Michael Nightingale, Wyn Jones, Dafydd Havard, Cyril Chamberlain","Sky_West_and_Crooked, "
